id,identifier,govIdentifier,URL,name,description,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,charge,proofOfResidency,accessibilityNotes,pedestrianAccess,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo,wikidataQid
,hwrc-nir-and-0731ln0725,WML 07/31LN/07/25,,Ormeau Recycling Centre,,6 Park Road,,Down,nir,BT7 2FX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-0810ln0872,WML 08/10LN/08/72,,Sullatober Civic Amenity Site,,10 Marshallstown Road,,Antrim,nir,BT38 9DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-0918ln09106,WML 09/18LN/09/106,,Carryduff Civic Amenity Site,,6 Comber Road,,Down,nir,BT8 8AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-1003ln08105,WML 10/03LN/08/105,,Kilrea Civic Amenity Site,,Lisnagrot Road,,Londonderry,nir,BT51 5SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-1004ln08101,WML 10/04LN/08/101,,Garvagh Civic Amenity Site,,Limavady Road,,Londonderry,nir,BT51 5EB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-1005ln08103,WML 10/05LN/08/103,,The Depot Civic Amenity Site,,Loughanhill Industrial Estate,,Londonderry,nir,BT52 2PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-1006ln08102,WML 10/06LN/08/102,,Portstewart Civic Amenity Site,,Roselick Road,,Londonderry,nir,BT55 7PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-1008ln08104,WML 10/08LN/08/104,,Castlerock Civic Amenity Site,,Freeland Road,,Londonderry,nir,BT51 4TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ann-1011ln0870,WML 10/11LN/08/70,,Portrush Civic Amenity Site,,Causeway Street,,Antrim,nir,BT56 8AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-1110ln0614,WML 11/10LN/06/14/A,,Moneymore Civic Amenity Site,,Moneyhaw Road,,Londonderry,nir,BT45 7XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-abc-1218ln1643,WML 12/18LN/16/43,,Fairgreen Civic Amenity Site,,Duke Street,,Armagh,nir,BT62 3EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-abc-1219ln0950,WML 12/19LN/09/50,,New Line Civic Amenity Site,,Tandragee Road,,Armagh,nir,BT66 8TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-1325ln0954,WML 13/25LN/09/54,,Glendermott Road Civic Amenity Centre,,Glendermott Road,,Londonderry,nir,BT47 6BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-1328ln0835,WML 13/28LN/08/35,,Eglinton Civic Amenity Centre,,Benbow Industrial Estate,,Londonderry,nir,BT47 3DW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-1336ln0821,WML 13/36LN/08/21/M,,Strathfoyle Civic Amenity Site,,Temple Road,,Londonderry,nir,BT47 6TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-1343ln0832,WML 13/43LN/08/32,,Park Village Civic Amenity Site,,School Lane,,Londonderry,nir,BT47 4BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-ccg-1367ln1227,WML 13/67LN/12/27,,Claudy Recycling Centre,,Learmount Road,,Londonderry,nir,BT47 4AQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-1416ln1749,WML 14/16LN/17/49,,Bann Road Household Recycling Centre,,Bann Road,,Down,nir,BT31 9AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-and-1439ln1751,WML 14/39LN/17/51,,Ballykine Household Recycling Centre,,3 Ballykine Industrial Estate,,Down,nir,BT24 8BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hwrc-nir-mul-1510ln0937,WML 15/10LN/09/37,,Coalisland Civic Amenity Site,,Station Road,,Tyrone,nir,BT71 4JD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
