Council,CouncilLabel
http://www.wikidata.org/entity/Q56181031,Mallwyd Urban District Council
http://www.wikidata.org/entity/Q73072667,Malvern Hills District Council
http://www.wikidata.org/entity/Q2302252,Manchester City Council
http://www.wikidata.org/entity/Q73072669,Mansfield District Council
http://www.wikidata.org/entity/Q1620633,Marr
http://www.wikidata.org/entity/Q16997526,Medway Council
http://www.wikidata.org/entity/Q105536190,Meirionnydd District Council
http://www.wikidata.org/entity/Q73072672,Melton Borough Council
http://www.wikidata.org/entity/Q73072673,Mendip District Council
http://www.wikidata.org/entity/Q20714038,Merionethshire County Council
http://www.wikidata.org/entity/Q6820572,Merseyside County Council
http://www.wikidata.org/entity/Q6820723,Merton London Borough Council
http://www.wikidata.org/entity/Q105544696,Mid Beds District Council
http://www.wikidata.org/entity/Q73072676,Mid Devon District Council
http://www.wikidata.org/entity/Q65063871,Mid Glamorgan County Council
http://www.wikidata.org/entity/Q73072678,Mid Suffolk District Council
http://www.wikidata.org/entity/Q73072679,Mid Sussex District Council
http://www.wikidata.org/entity/Q6841843,Middlesbrough Council
http://www.wikidata.org/entity/Q6842580,Midlothian Council
http://www.wikidata.org/entity/Q16997843,Milton Keynes Council
http://www.wikidata.org/entity/Q73072681,Mole Valley District Council
http://www.wikidata.org/entity/Q105536125,Monklands District Council
http://www.wikidata.org/entity/Q105536191,Monmouth District Council
http://www.wikidata.org/entity/Q56181341,Montgomeryshire County Council
http://www.wikidata.org/entity/Q105536192,Montgomeryshire District Council
http://www.wikidata.org/entity/Q28530260,Moray Council
http://www.wikidata.org/entity/Q28530260,Moray Council
http://www.wikidata.org/entity/Q105536126,Motherwell District Council
http://www.wikidata.org/entity/Q73072682,New Forest District Council
http://www.wikidata.org/entity/Q73072684,Newark and Sherwood District Council
http://www.wikidata.org/entity/Q105544697,Newbury District Council
http://www.wikidata.org/entity/Q16998823,Newcastle City Council
http://www.wikidata.org/entity/Q73072687,Newcastle-under-Lyme Borough Council
http://www.wikidata.org/entity/Q7018141,Newham London Borough Council
http://www.wikidata.org/entity/Q105536128,Nithsdale District Council
http://www.wikidata.org/entity/Q6386227,Norfolk County Council
http://www.wikidata.org/entity/Q99229582,North Ayrshire Council
http://www.wikidata.org/entity/Q105544700,North Cornwall District Council
http://www.wikidata.org/entity/Q7055115,North Devon Council
http://www.wikidata.org/entity/Q105545100,North Devon District Council
