id,identifier,govIdentifier,URL,name,description,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,charge,proofOfResidency,accessibilityNotes,pedestrianAccess,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo,wikidataQid
900,hwrc-wal-gwn-eb3836ac,EB3836AC,,Recycling Centre At Blaenau Ffestiniog,,"Rhiwbryfdir Ind Est, Rhiwbryfdir",Blaenau Ffestiniog,,wal,LL41 3LU,53.0017188,-3.943148821,,,gwn,Gwynedd Council,,,Gwynedd Council,,,,,,40953,,,0,,,,,,,44276,,,Q5623821
901,hwrc-wal-gwn-pp3492fj,PP3492FJ,,Pwllheli Civic Amenity Site,,,Pwllheli,,wal,LL53 6YT,52.8914573,-4.402032439,,,gwn,Gwynedd Council,,,Gwynedd Council,,,,,,39283,,,0,,,,,,,44276,,,Q5623821
902,hwrc-wal-gwn-pp3594fm,PP3594FM,,Rhwngyddwyryd Civic Amenity Site,,,Garndolbenmaen,,wal,LL51 9LQ,52.95821546,-4.24403409,,,gwn,Gwynedd Council,,,Gwynedd Council,,,,,,34683,,,0,,,,,,,44276,,,Q5623821
903,hwrc-wal-den-bp3691et,BP3691ET,,Ruthin Civic Amenity Site,,"Her Lon Parcwr, Lon Parcwr Estate",Ruthin,,wal,LL15 1NJ,53.12211909,-3.312114489,,,den,Denbighshire County Council,,,C A D Recycling Ltd,,,,,,43046,,,0,,,,,,,44276,,,Q5256629
904,hwrc-wal-fln-bp3294vp,BP3294VP,,Mold Recycling Park,,Mold Recycling Park,Mold,,wal,CH7 4ED,53.14621147,-3.131661862,,,fln,Flintshire County Council,,,Flintshire County Council,,,,,,35720,,,0,,,,,,,44276,,,Q16837157
905,hwrc-wal-fln-bp3291eb,BP3291EB,,Globe Way Recycling Park,,"Globe Way Recycling Park, Spencer Industrial Estate",Buckley,,wal,CH7 3LY,53.17673902,-3.06645156,,,fln,Flintshire County Council,,,Flintshire County Council,,,,,,34775,,,0,,,,,,,44276,,,Q16837157
906,hwrc-wal-den-bp3694vk,BP3694VK,,Denbigh Civic Amenity Site,,Colomendy Industrial Estate,Denbigh,,wal,LL16 3EA,53.18992379,-3.414540196,,,den,Denbighshire County Council,,,C A D Recycling Ltd,,,,,,43045,,,0,,,,,,,44276,,,Q5256629
907,hwrc-wal-fln-xb3597tm,XB3597TM,,Sandycroft Recycling Park,,Sandycroft,Deeside,,wal,CH5 2PX,53.19852935,-2.991499692,,,fln,Flintshire County Council,,,Flintshire County Council,,,,,,41544,,,0,,,,,,,44276,,,Q16837157
908,hwrc-wal-fln-bp3295vs,BP3295VS,,Queensferry Recycling Park,,Queensferry,Deeside,,wal,CH5 1TD,53.20397459,-3.021553811,,,fln,Flintshire County Council,,,Flintshire County Council,,,,,,34141,,,0,,,,,,,44276,,,Q16837157
909,hwrc-wal-fln-bp3299vh,BP3299VH,,Dock Road Recycling Park,,Connah's Quay,Deeside,,wal,CH5 4DS,53.21784835,-3.048077982,,,fln,Flintshire County Council,,,Flintshire County Council,,,,,,34141,,,0,,,,,,,44276,,,Q16837157
910,hwrc-wal-fln-ab3997cd,AB3997CD,,Oakenholt Household Waste Recycling Centre,,"Chester Road, Oakenholt",Flint,,wal,CH6 5SF,53.23810133,-3.109616381,,,fln,Flintshire County Council,,,Flintshire County Council,,,,,,43362,,,0,,,,,,,44276,,,Q16837157
911,hwrc-wal-fln-bp3297ez,BP3297EZ,,Flint Recycling Park,,"Flint Recycling Park, Castle Ind Est",Flint,,wal,CH6 5XA,53.25443938,-3.136795458,,,fln,Flintshire County Council,,,Flintshire County Council,,,,,,34598,,,0,,,,,,,44276,,,Q16837157
912,hwrc-wal-gwn-qp3994fz,QP3994FZ,,Caergylchu Waste Management Facility,,Cibyn Industrial Estate,Caernarfon,,wal,LL55 2BD,53.14107864,-4.243331091,,,gwn,Gwynedd Council,,,Gwynedd Council,,,,,,42797,,,0,,,,,,,44276,,,Q5623821
913,hwrc-wal-fln-bp3298vk,BP3298VK,,Greenfield Recycling Park,,Greenfield Recycling Park,Greenfield,,wal,CH8 7GJ,53.28485437,-3.190688405,,,fln,Flintshire County Council,,,Flintshire County Council,,,,,,39113,,,0,,,,,,,44276,,,Q16837157
914,hwrc-wal-cwy-mb3097tg,MB3097TG,,Abergele Civic Amenity Site,,Rhuddlan Road,Abergele,,wal,LL22 9SE,53.28542768,-3.545021234,,,cwy,Conwy County Borough Council,,,Bryson Recycling Ltd,,,,,,42460,,,0,,,,,,,44276,,,Q5166758
915,hwrc-wal-gwn-qp3794ft,QP3794FT,,Llandygai Civic Amenity Site,,Stad Diwydiannol Llandygai,Bangor,,wal,LL57 4YH,53.21737133,-4.108673993,,,gwn,Gwynedd Council,,,Gwynedd Council,,,,,,38947,,,0,,,,,,,44276,,,Q5623821
916,hwrc-wal-den-hp3394vk,HP3394VK,,Rhyl Recycling Park,,"Marsh Road, Rhyl",Rhyl,,wal,LL18 2AD,53.31006019,-3.497024398,,,den,Denbighshire County Council,,,C A D Recycling Ltd,,,,,,43046,,,0,,,,,,,44276,,,Q5256629
917,hwrc-wal-cwy-mb3397tz,MB3397TZ,,Mochdre Civic Amenity Site,,"Civic Amenity Site, Bron -y- Nant Road",Colwyn Bay,,wal,LL28 4YL,53.29811029,-3.759250498,,,cwy,Conwy County Borough Council,,,Bryson Recycling Ltd,,,,,,39596,,,0,,,,,,,44276,,,Q5166758
918,hwrc-wal-agy-jb3132rc,JB3132RC,,Penhesgyn House Waste Recycling Centre,,Llansadwryn,Menai Bridge,,wal,LL59 5UR,53.24449095,-4.19993671,,,agy,Isle of Anglesey County Council,,,Isle Of Anglesey County Council,,,,,,41166,,,0,,,,,,,44276,,,Q6083890
919,hwrc-wal-agy-rp3694fk,RP3694FK,,Gwalchmai Civic Amenity Site,,Gwalchmai,Holyhead,,wal,LL65 4PW,53.26038135,-4.428874359,,,agy,Isle of Anglesey County Council,,,Isle Of Anglesey County Council,,,,,,38471,,,0,,,,,,,44276,,,Q6083890
